sqft_living,num_bedrooms,house_age_years,distance_to_city_km,lot_size_sqft,crime_rate,house_price
2228.8298116010096,2.0,22.0,27.480161228483635,5553.303900683567,0.16355379453018737,395990.82271401945
2022.1316557430198,2.0,28.0,22.823575324148337,7447.7003858585695,0.8819755551406074,306435.27269367507
1088.873145201163,3.0,10.0,18.999394175955665,7831.69661778974,0.9665589185551432,205132.97349457626
2275.2119190930252,5.0,55.0,12.13484242462195,7177.485868269235,0.44483935934052954,371443.2914671526
2726.139092254469,3.0,31.0,10.859730637478823,3953.6283671731344,0.6274678987660728,416195.24908118334
766.2789499800617,4.0,46.0,26.836873930722717,7379.557939840748,0.6669359852039066,131554.3454290744
1829.1043592229998,2.0,72.0,37.514418437115545,2982.0629587502776,0.057741079467035994,236041.69273424541
,1.0,50.0,33.850694685247426,8095.442370686758,0.8583304317809248,214818.3695025432
1887.2889064159194,1.0,71.0,25.376138257323024,,0.8394532342095508,223465.84715131874
1781.1826487875758,5.0,46.0,20.139835261782057,4484.068243815891,0.5976324398689004,277073.42563556525
2383.8910308299037,5.0,7.0,19.302123865705823,7202.746473817379,0.6839751299151413,425386.86535654805
1411.0916562045622,1.0,33.0,14.535432371476404,6971.113317862204,0.8910216829672115,187598.04954757052
1204.3482513986755,5.0,46.0,3.8876464985815717,3608.507260077813,0.4722484989451585,210988.7348546293
1675.4819802218108,1.0,16.0,9.776633170664013,5507.275542884199,0.9477960660144571,251195.34741232835
2285.785475477178,5.0,45.0,15.789834950037509,7238.589544420768,0.5926960666428778,373645.8482707709
1244.7120772670855,2.0,43.0,,7708.363131111622,,202656.23015188397
2162.883311949346,2.0,12.0,37.69015868789054,5041.424404372454,0.09555910395833522,353210.1861065841
1901.7318179336116,1.0,11.0,31.294828852881857,3784.5790355319764,0.284058389040429,273189.6076097996
2140.9457448131557,1.0,69.0,23.6752671176988,7971.442515776627,0.45326746075502133,299608.9006685986
2724.4780474726726,2.0,30.0,7.634501275061978,7298.889927457652,0.9061009286804258,423768.0036857615
1199.8517964721118,4.0,5.0,16.500478119064574,7527.5330763424045,0.690123117682008,227857.9689570305
3027.650069955447,3.0,59.0,26.253142128891163,4228.6448226437915,0.5849308939787217,465050.08835679916
1316.5119284353934,5.0,3.0,2.1370522548614708,7161.187351017318,0.7403782969410198,314629.84432857326
,3.0,58.0,34.131834404028154,4288.064392865919,0.5993585871358027,237352.80772715097
1809.2091895947758,3.0,0.0,22.632820681423365,4358.827060997988,0.16493402685273106,368114.26397142414
2287.7725635611796,4.0,25.0,18.503732184117634,4425.181138660868,0.23038663938588944,360823.80611476244
1695.9388748213623,3.0,18.0,32.42793677209549,4504.7740462545535,0.7153641152288897,257602.10550474602
1980.697802754207,4.0,72.0,6.544647421451927,5297.163770511212,0.795660230661442,319285.59496258217
